id	label	text
770976639173951488	P	@noseashetero 1000/10 de verdad a ti que voy a decir petarda que te quiero más que a mí mismo  ✨
771092421866389508	P	@piscolabisaereo @HistoriaNG @SPosteguillo las tengo pero aún no las he leído. Caerán prontito 
771092111429083136	P	Al final han sido 3h  Bueno, mañana tengo fiesta así que.. No me quejo 
771092070572449796	N	@Jorge_Ruiz14 yo no tengo tiempo para esas cosas ahora mismo 
771094192508600320	N	@_MissChaotic_ ves ese brillo? es un coso que hace que se sepan a kk 
771116956518875137	P	Tengo una perrina adorable... Sabéis que me acompaña hasta la a habitación cuando me voy a dormir? 
771115324884262912	NEU	@juankipua Es que en el Ojeando el año pasado tampoco, tiene muchas canciones ya jajajajaja 
771118683414560768	NONE	Bueno, estoy en la batalla final del Conquista y ya después me faltaría Revelación 
770550748107202560	NONE	@CondeDuqueMAD ¿mañana sábado 31? En que día vives?  Mañana es miércoles 31.
770549862500802560	P	@agcasti y el caminante ante el mar de niebla, uno de mis cuadros favoritos en portada 
770549380294336512	P	@vitojph ¡sí! Y me ha encantado  ¿Tú ya las visto? ¿Cuándo comentamos?
770558771219271680	NONE	@aladroqe Se me olvidaban los grandes @2qblog y @estapillao ! A ver si os interesa es hilillo 
770558626788507648	N	@pendragoncillo Mejor si pones un link a la cuenta, me ha costado encontrarte.. 
770555355491426305	NONE	@Majoras_Mark Por?  Tenía pensado verla después de la segunda de Daredevil 
770554917685719040	NONE	@SoofRawr + ni el de al lado, la "manita" que usas para que se vea como más negro 
770527686116700160	N	Llevo despierto desde las 8 porque un puto mosquito estaba volando en mi puta oreja y 
770521682842877953	P	@ArchivoSGAE Qué estupendo. Y... ¿cómo os lo encargo?  ¿Es la estupendísima versión de Barce..? 
770470969085464578	P	Cosas que enamora las tostadas calentitas a estas horas de la mañana 
770544710440083456	P	Hola buenos días, me he dormido a las 5 y algo y me acabo de despertar y se me ha ido el sueño 
770560227531948032	N	@omixam no creo que hayan diseñado una tipo propia 
769977284514156545	N	@perriestheory sabes que en 2012 o 13 tenía una novela de mierda en la que perrie era mala 
769979388825927680	NEU	@CarlosSadness en ninguna porque no te he visto en directo  concierto en madrid pronto pls
770057070611722240	N	@uravity_ lo se pero tengo la esperanza de que en realidad sea un personaje mucho mas oscuro 
770056603924037633	N	Pa una vez que me pongo a ver películas con un amigo y se queda dormido 
770059333489025024	N	@Hanita_chan nfin, no puede ser peor que un minikayato  Clauyato is real
770053036483940353	N	@KharanosGame Que Kinox no me quiere   zi yo zoy buena perzona
770032814729355264	NEU	Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados 
770221197309120512	P	Podríamos empezar septiembre desde el día tres, no sé, estaría guay 
770220682504470528	NEU	y lo peor de todo es que funcionaba maldita Jaco como te quiero 
770219320643387392	P	aqui fardando de que soy vegano desde hace 2 dias con mis amigos de tuiter! 
770187533531643904	N	@MisfitStormer pues hay gente así de mala por el mundo 
770223986382962688	N	@Mentestropeada Atraigo por los dos lados es un problema duro 
770222346829520896	NEU	@YG__GF me ofrecería pero gerald es demasiado lindo 
770238296865792000	NONE	@baad_news es dirección de proyectos en empresas audiovisuales 
770238084764041217	N	Como destrozaba el puto movil ahora mismo 
770237903062654976	P	#DiaDelVideojuegoHC por todas esas grandes tardes que nos hacen pasar y las que pasaran! 
770237223916670976	P	@DarkGiirI que va tía, muchos son viejos de mi madre, otros del chino. Los que me encantan y me estoy comprando son los del Kiko 
770236753525481473	N	Parece que hasta mañana no podré catar el madden. Hoy no habra directo 
770242315306799104	N	Mi compañero de trabajo será mi futuro marido... que pena que no lo sepa 
770215539037839360	N	@Reporte24ES @LaVerdad24ES fallecido hace meses. Hay q contrastar. 
770214477363023872	N	@Yore89 necesito mi ración de atención diaria que si no no mantengo la autoestima 
770201127057063936	P	@CristyStruky Gracias por dar a "Me gusta" a nuestros tweets  ¿que tal? ¿estás trabajando Cristina?
770267484553347072	N	@Club_Ratoncito Nuestros niños no andaban de lo más animado con eso de que se acaban las vacaciones... 
770266021802471424	P	@vivanlospipis ser es muy malo pero bueno te salvas porque te queremos igual 
770270539772493825	NEU	Pero solo cojo 5 días porque me cambio de curro y 
770269675141881856	P	@dorysmemories Yo también me lo imaginaba así! También soy de las que creen que el casting es buenísimo, al menos yo estoy contenta 
770269426834894850	P	Despues de trabajar duro me merezco mis caprichos 
770262568703291392	NEU	@LorasTyrellSer Yo también te puse algo bonito. Cuanto desprecio 
770272501196845056	N	No encuentro el mando de la tele y me estoy poniendo nerviosita 
770246064645496832	P	Lo mejor de estar ya en Málaga es poder ir a ver Escuadrón Suicida esta tarde 
770178218255147012	P	@LaFeaDelBaile insoportable? Eso es lo que tú dices  Ya nos contarás, espero que vaya todo genial 
770174003164155905	P	@toniroldanm y por cierto el respeto (y en mi caso admiración) es mutuo 
770173260218720256	N	@CainQ yo he subido una en gayumbos hace nada. Qué poco me lees paisana     @Ichabod1880
770281603713101824	N	@EskizoSirenita hay que ser mala persiana para quitarte esa diversion 
770281218948624384	P	@myvidaconlibros ¿verdad que sí? Yo también me quité un gran peso de encima 
770281174451257344	NEU	@cardinaleconnor Mañana no :(, pero seguro que hay gente buena  @cuatro @mananascuatro
770277686304468992	N	@DeathManu94 @piercetheidiot ya lo sé, pobre Uno  Te acompaño en los feels
770287599500091392	N	@_anarKopunK_ @jkarlos1998HD y aún así estoy en el campo   y l edición coleccionista tengo que acabar de pagarla
770283477195452416	N	me mantengo optimista pero se me hace difícil a veces de verdad 
770288042687037441	P	@tachina @EW @Outlander_STARZ Sí! Yo creo que vamos a acabar muuuuuuuuy contentas 
770208550824075264	N	Vale entiendo, no he estado rápido en la bajada, pero hay es donde habría que haber entrado    @ivanovlaguna
770208079099072512	NONE	@GxDRadioGalega Correcció "Nin se nos pasa pola cabeza NON ser segundos". 
770204764709740544	N	Ha muerto mi profesora de volumen/escultura y en serio que bajonazo 
770250234916110336	P	Haces que se vaya mi melancolía, me devuelves de nuevo a la vida 
770249350194790401	N	@Sakura1474 tia que estoy a punto de acabar la novena voy con retraso 
770234256501141508	P	@Madridonasangre yo acabo de aportar mi pequeña contribución. Te sientes tan bien! 
770232966459092993	NONE	@dfresneda_UNED pues la aludida ...y yo mismo...sí...Buen día 
770231340612583425	N	Hoy una mosca no me dejó dormir y me cago en su puta vida 
770230916048445440	P	@Aldepadorio es un gran, gran tipo  @cesarmuela
770248941522784256	NEU	@FraanBMJ pero entiende que era nuestro sueño  además cuando la vi creo que estábamos en 5 de primaria o algo así
770248677264883713	N	@Yuremonplsxd @PequeChikane Aquí habemos  me he saturado al leer eso idnwhy
770248351841456128	N	@Jorge_LBU Espero que te mejores pronto, vomitar es muy desagradable 
770247683395190784	N	la chancla representa el asco y lo muy harta que está mi madre de aquí la menda 
770253038447624192	P	Hola @xabyjordi gracias por la información, tomamos nota  Qué tengas un buen día
770254835669168128	NEU	@TheFuzzCanyon gracias por etiquetarme, pero no suelo hacer estas cosas 
770254726134960129	N	@KikeMlaga @sanchezcastejon ¿Socialistas honrados? Esto es un oxímoron. 
770257983737589760	N	que le pasa a mi tumblrr o.O se ha vuelto extraño, no sale la musica 
770257496342659072	N	Cada uno que busque sus mecanicas, pero que lo haga rapido antes de morir y eso 
770228440985468928	N	@suomijon @chemiF1 @WinfieldF1 ... bien pienso que tú te enquistas en temas secundarios sin ver "toda la película". 
770228393799520256	N	Ojalá alguien llamandome bonito o precioso  sad
769975273559326720	N	@Sasnak95 @Muzska89 o hacemos presión social o esto no avanza 
770050213847367680	N	@aIfonsofr no lo consigo  ayudame porfi que es super importante
770075865845755904	N	Despues de tener el combo perfecto pa sentirme como una mierda, a dormir 
770074975747313667	N	Necesito ver por lo menos una vez más a Riri para irme a dormir más conforme. ¿Por qué tienen que echar a estas horas la gala?  #VMAs
770048662818938880	N	@OnSuicidio es una barbaridad de dinero, y aunque lo tuviera no puedo porque se contrata antes del show  -Noe
770076999545196544	P	@jose97angel ¿eliminada? Nooo, no la han eliminado. Pasó a la semifinal el otro día 
770151813064654848	P	@jonathanchacon te deseo muchísima suerte en tu próxima aventura tío 
770151752964382721	P	@EduHdez7th @UDLP_Oficial Preciosa vista y gran resultado, enhorabuena 
770135955109969920	NEU	@_MrsCristina te amo, aunque parece que te has dormido cuando quedaban 5 o 6 
770135922604138500	P	@MataTweet @Alejandro_Novas jajajajaja. El All Bran es Pro!  Buenos días compis! 
770025462152265728	N	De verdad desde que me puse las gafas moradas no soporto a ningún tío y 
770025123118215168	P	El puente mas bonito de la constitución este año en Alicante 12,13 y 14 @zaharapop en directo y allí estaré 
769981814689632257	N	@ce_roses Ouch, ya no llego, a ver si para la próxima si que puedo  un saludo
770022541813489664	N	Aaaa aaa estoy tan cansada y me espera una semana tan horrible hasta el jueves que 
